text,category,intent,customer_tier,source_channel,sla_hours_remaining,ticket_age_hours,repeat_contact_count,urgency_keyword_score,exclamation_count,all_caps_ratio,customer_sentiment,business_impact,priority
I have an issue trying to change the delivery address,Orders & Shipping,change_shipping_address,Pro,website,24.0,0.0,0,0,0,0.0,Frustrated,Minor,Medium
how to check the options for delivery?,Orders & Shipping,delivery_options,Pro,email,24.0,0.0,0,0,0,0.0,Neutral,Minor,Low
is it possible to see in what cases can I request refunds?,Returns & Refunds,check_refund_policy,Basic,email,15.4,32.6,0,0,0,0.0,Neutral,Minor,Low
I don't know what I have to do to contact a person,General Inquiries,contact_human_agent,Pro,zendesk,4.7,19.3,2,0,0,0.0,Neutral,Minor,Medium
their is a problem trying to correct my delivery address,Orders & Shipping,change_shipping_address,Basic,zendesk,39.2,8.8,0,0,0,0.0,Frustrated,Moderate,Medium
"you are not being helpful, help chatting with a human agent",General Inquiries,contact_human_agent,Basic,website,27.2,20.8,1,0,0,0.0,Frustrated,Moderate,High
where do I retrieve the key of my user profile?,Account & Authentication,recover_password,Pro,zendesk,7.8,16.2,2,0,0,0.0,Neutral,Minor,Medium
"I entered a wrong shipping address, can I correct it?",Orders & Shipping,change_shipping_address,Free,website,72.0,0.0,0,0,0,0.0,Neutral,Minor,Medium
I want herlp to obtain reimbursements of money,Returns & Refunds,get_refund,Pro,website,2.2,21.8,0,0,0,0.0,Neutral,Minor,Medium
what are your bloody payment methods?,Billing & Payments,check_payment_methods,Pro,salesforce,-0.4,24.4,0,0,0,0.0,Angry,Moderate,High
I want to leave an opniion for your company,Customer Feedback,review,Basic,freshdesk,48.0,0.0,0,0,0,0.0,Neutral,Minor,Low
how to restore the key of my profile,Account & Authentication,recover_password,Free,zendesk,-4.3,76.3,0,0,0,0.0,Neutral,Moderate,High
wanna leave a review about a product how to do it,Customer Feedback,review,Free,email,1.8,70.2,1,0,0,0.0,Neutral,Minor,Low
I don't know how I can make a customer reclamation,Complaints & Escalations,complaint,Basic,freshdesk,34.4,13.6,0,0,0,0.0,Frustrated,Moderate,Medium
I need to see in what cases can I request to be refunded,Returns & Refunds,check_refund_policy,Free,freshdesk,20.2,51.8,0,0,0,0.0,Neutral,Minor,Medium
help to contact a person,General Inquiries,contact_human_agent,Enterprise,zendesk,6.5,1.5,1,0,0,0.0,Neutral,Minor,Low
"I need to see the payment options, can you help me?",Billing & Payments,check_payment_methods,Free,freshdesk,-17.3,89.3,0,0,0,0.0,Neutral,Minor,Low
"I want to edit order , will you help me?",Orders & Shipping,change_order,Free,zendesk,19.0,53.0,0,0,0,0.0,Neutral,Minor,Medium
can you show me in which situations can I ask for refunds?,Returns & Refunds,check_refund_policy,Pro,email,5.2,18.8,1,0,0,0.0,Neutral,Minor,Medium
I do not know what to do to see the withdrawal penalties,Returns & Refunds,check_cancellation_fee,Free,website,37.3,34.7,0,0,0,0.0,Neutral,Minor,Medium
lodge customer complaint,Complaints & Escalations,complaint,Free,freshdesk,72.0,0.0,0,0,0,0.0,Frustrated,Moderate,Medium
is it possible to write a review about ur rpoducts,Customer Feedback,review,Basic,zendesk,-11.3,59.3,0,0,0,0.0,Positive,Minor,Low
"I have got to lodge a customer complaint, help me",Complaints & Escalations,complaint,Free,salesforce,10.4,61.6,0,0,0,0.0,Frustrated,Moderate,High
I try to speak to a person,General Inquiries,contact_human_agent,Free,zendesk,19.0,53.0,0,0,0,0.0,Neutral,Minor,Medium
what is your customer assistance number?,General Inquiries,contact_customer_service,Pro,website,-7.7,31.7,1,0,0,0.0,Neutral,Minor,Low
"I need to see when will my item arrive, how to do it?",Orders & Shipping,delivery_period,Pro,website,-4.4,28.4,1,0,0,0.0,Neutral,Minor,Medium
i have got to see ur refund policy can uhelp me,Returns & Refunds,check_refund_policy,Basic,email,-3.3,51.3,0,0,0,0.0,Neutral,Minor,Low
help me to download my goddamn invoices from,Billing & Payments,get_invoice,Basic,website,-1.3,49.3,0,0,0,0.0,Frustrated,Moderate,High
"I have got to list the damn payment methods, how to do it?",Billing & Payments,check_payment_methods,Pro,zendesk,13.8,10.2,0,0,0,0.0,Neutral,Minor,Low
can I list your allowed payment modalities?,Billing & Payments,check_payment_methods,Enterprise,website,-2.1,10.1,2,0,0,0.0,Frustrated,Moderate,High
want assistance leavingmy feedback for a service,Customer Feedback,review,Basic,email,15.3,32.7,0,0,0,0.0,Neutral,Minor,Medium
need assistance to sign up to the newsletter,Subscription & Account Management,newsletter_subscription,Free,freshdesk,-20.8,92.8,0,0,0,0.0,Neutral,Minor,Medium
I do not know how to lodge a customer claim,Complaints & Escalations,complaint,Pro,freshdesk,13.9,10.1,1,0,0,0.0,Neutral,Minor,Low
I want information about opening platinum accounts,Account & Authentication,create_account,Enterprise,email,2.9,5.1,0,0,0,0.0,Neutral,Minor,Medium
i want assistance to buy an item,Orders & Shipping,place_order,Basic,freshdesk,5.7,42.3,1,0,0,0.0,Neutral,Minor,Low
cancelling standard account,Account & Authentication,delete_account,Free,email,5.0,67.0,0,1,0,0.0,Neutral,Minor,Medium
want assistance editing my personal data,Account & Authentication,edit_account,Free,email,72.0,0.0,0,0,0,0.0,Neutral,Minor,Medium
i dont know what i have to do to lodge a consumer complaint,Complaints & Escalations,complaint,Free,website,61.9,10.1,1,0,0,0.0,Frustrated,Minor,Medium
I want to update my address,Orders & Shipping,change_shipping_address,Free,email,72.0,0.0,1,0,0,0.0,Neutral,Minor,Low
i want assistance opening a account for my dad,Account & Authentication,create_account,Free,zendesk,-7.8,79.8,0,0,0,0.0,Neutral,Minor,Low
i do not know how i can talk to a human agent,General Inquiries,contact_human_agent,Free,email,36.2,35.8,0,0,0,0.0,Frustrated,Moderate,Medium
help seeing in what cases can i request to be reimbursed,Returns & Refunds,check_refund_policy,Free,website,-10.5,82.5,0,0,0,0.0,Neutral,Minor,Medium
updating user profile,Account & Authentication,edit_account,Basic,website,20.2,27.8,0,0,0,0.0,Neutral,Minor,Low
need to see how soon can i expect the order could uhelp me,Orders & Shipping,delivery_period,Free,email,9.5,62.5,0,0,0,0.0,Neutral,Minor,Low
can you help me write a comment for your products?,Customer Feedback,review,Pro,website,-2.7,26.7,2,0,0,0.0,Neutral,Moderate,High
i dont know how tl inform of signup errors,Account & Authentication,registration_problems,Free,website,-29.0,101.0,0,0,0,0.0,Frustrated,Moderate,High
creating freemium account,Account & Authentication,create_account,Pro,zendesk,24.0,0.0,1,0,0,0.0,Neutral,Minor,Low
i do not know how to unsubscribe to ur company newsletter,Subscription & Account Management,newsletter_subscription,Pro,email,13.0,11.0,0,0,0,0.0,Neutral,Minor,Low
i dont know how i can check the eta of my last delivery,Orders & Shipping,track_order,Basic,zendesk,32.7,15.3,0,0,0,0.0,Neutral,Minor,Medium
i want help to leave a comment about ur services,Customer Feedback,review,Basic,website,17.6,30.4,0,0,0,0.0,Neutral,Minor,Low
I have got to swap a damn product of order,Orders & Shipping,change_order,Free,zendesk,42.0,30.0,0,0,0,0.0,Frustrated,Moderate,Medium
help me see in which cases can I ask for an refund,Returns & Refunds,check_refund_policy,Free,zendesk,17.6,54.4,1,0,0,0.0,Neutral,Minor,Low
I'm trying to se the withdrawal fees,Returns & Refunds,check_cancellation_fee,Free,salesforce,-12.3,84.3,0,0,0,0.0,Neutral,Minor,Low
where can i see the ETA of the order,Orders & Shipping,track_order,Basic,email,14.5,33.5,0,0,0,0.1111111111111111,Neutral,Minor,Medium
I am trying to leave feedback for a service,Customer Feedback,review,Basic,website,-8.1,56.1,1,0,0,0.0,Frustrated,Moderate,High
I have got to edit order,Orders & Shipping,change_order,Basic,email,-10.8,58.8,0,0,0,0.0,Frustrated,Moderate,High
help to write an opinion for ur company,Customer Feedback,review,Enterprise,email,2.4,5.6,0,0,0,0.0,Neutral,Minor,Medium
i do not know how i can cancel purchase,Orders & Shipping,cancel_order,Basic,website,-1.6,49.6,1,0,0,0.0,Frustrated,Moderate,High
I am calling to lodge a complaint against your business,Complaints & Escalations,complaint,Enterprise,email,-0.3,8.3,1,0,0,0.0,Frustrated,Moderate,High
problem with account cancellations,Account & Authentication,delete_account,Free,email,72.0,0.0,0,0,0,0.0,Frustrated,Moderate,Medium
"I can't open an account, where do I report a signup issue?",Account & Authentication,registration_problems,Free,email,39.8,32.2,0,0,0,0.0,Frustrated,Moderate,High
i do not know how to edit my delivery address,Orders & Shipping,change_shipping_address,Enterprise,zendesk,-0.3,8.3,0,0,0,0.0,Frustrated,Moderate,High
can you help me to make a claim against your company?,Complaints & Escalations,complaint,Free,website,-15.8,87.8,0,0,0,0.0,Frustrated,Moderate,High
i have got to cancel my newsletter subscription,Subscription & Account Management,newsletter_subscription,Free,salesforce,72.0,0.0,0,1,0,0.0,Neutral,Minor,Low
help me to cancel the subscription to the company newsletter,Subscription & Account Management,newsletter_subscription,Pro,salesforce,13.2,10.8,1,0,0,0.0,Neutral,Moderate,Medium
how do i shop an item,Orders & Shipping,place_order,Free,salesforce,-0.7,72.7,0,0,0,0.0,Neutral,Minor,Low
where do I buy several products?,Orders & Shipping,place_order,Free,website,51.5,20.5,1,0,0,0.0,Neutral,Minor,Low
is there a section to leave an opinion about a service?,Customer Feedback,review,Free,zendesk,67.4,4.6,0,0,0,0.0,Neutral,Minor,Low
report issues creating account,Account & Authentication,registration_problems,Free,freshdesk,16.5,55.5,0,0,0,0.0,Frustrated,Moderate,High
help me to see in what situations can i request a refund,Returns & Refunds,check_refund_policy,Free,zendesk,38.3,33.7,0,0,0,0.0,Neutral,Minor,Medium
how to see your accepted payment methods?,Billing & Payments,check_payment_methods,Free,email,-47.6,119.6,0,0,0,0.0,Neutral,Minor,Low
I do not know what I need to do to download bill #12588,Billing & Payments,get_invoice,Pro,freshdesk,3.5,20.5,0,0,0,0.0,Neutral,Moderate,High
I don't know how to download my invoice #37777,Billing & Payments,get_invoice,Free,website,-6.5,78.5,0,0,0,0.0,Frustrated,Minor,Medium
I'm trying to get my invoice from,Billing & Payments,get_invoice,Free,website,2.5,69.5,0,0,0,0.0,Neutral,Minor,Low
I need assistance editing the address,Orders & Shipping,change_shipping_address,Free,zendesk,-42.2,114.2,0,0,0,0.0,Neutral,Moderate,High
I need help swapping an item of order,Orders & Shipping,change_order,Enterprise,email,-2.0,10.0,1,0,0,0.0,Frustrated,Moderate,High
find my bills from,Billing & Payments,check_invoice,Free,salesforce,36.2,35.8,0,0,0,0.0,Neutral,Minor,Medium
how can I see your accepted payment options?,Billing & Payments,check_payment_methods,Free,email,-13.7,85.7,0,0,0,0.0,Neutral,Minor,Low
I don't know how to demand restitutions of my money,Returns & Refunds,get_refund,Free,email,66.2,5.8,0,0,0,0.0,Neutral,Minor,Medium
how do i sign up to thhe corporate newsletter,Subscription & Account Management,newsletter_subscription,Free,zendesk,22.0,50.0,0,0,0,0.0,Neutral,Minor,Low
I need to see your available payment options,Billing & Payments,check_payment_methods,Free,email,40.8,31.2,0,0,0,0.0,Neutral,Minor,Low
I don't know how to list the payment options,Billing & Payments,check_payment_methods,Basic,salesforce,-16.4,64.4,0,0,0,0.0,Neutral,Minor,Low
"I need to remove a account, how can I do it?",Account & Authentication,delete_account,Basic,website,-11.6,59.6,0,0,0,0.0,Neutral,Minor,Medium
need help to see in what cases can I ask for refunds,Returns & Refunds,check_refund_policy,Free,zendesk,-41.5,113.5,0,0,0,0.0,Neutral,Minor,Medium
i have to see in what cases acn i request my money back,Returns & Refunds,check_refund_policy,Basic,email,36.1,11.9,0,0,0,0.0,Neutral,Minor,Low
i try to switch several items of order,Orders & Shipping,change_order,Enterprise,email,8.0,0.0,0,0,0,0.0,Frustrated,Moderate,High
