text,category,intent,split
I have got to chaneg to the account,Account & Authentication,switch_account,train
want help to edit some of the details on my account,Account & Authentication,edit_account,train
help me reset my user access key,Account & Authentication,recover_password,train
I have to change to the goddamn account,Account & Authentication,switch_account,train
"I want to edit my user profile, how could I do it?",Account & Authentication,edit_account,train
i dont know how i can switch to the freemium account,Account & Authentication,switch_account,train
edit details on premium account,Account & Authentication,edit_account,train
i have got to report an error with a sign-up,Account & Authentication,registration_problems,train
edit information on platinum account,Account & Authentication,edit_account,train
what do I have to do to use the profile?,Account & Authentication,switch_account,train
can you help me recover my user account PIN code ?,Account & Authentication,recover_password,train
I want help informing of an issue with a sign-up,Account & Authentication,registration_problems,train
I have a question about the online registration,Account & Authentication,registration_problems,train
i dont know how i can inform of an problem with sign-up,Account & Authentication,registration_problems,train
how can I use the freemium account?,Account & Authentication,switch_account,train
I'd like to use the account,Account & Authentication,switch_account,train
"I cannot sign up, inform of sign-up problems",Account & Authentication,registration_problems,train
I want assistance to switch to the standard account,Account & Authentication,switch_account,train
help to retrieve my user PIN,Account & Authentication,recover_password,train
I need assistance to use the premium profile,Account & Authentication,switch_account,train
want help notifying of a registration issue,Account & Authentication,registration_problems,train
I don't know what I need to do to change to the account,Account & Authentication,switch_account,train
assistance updating the info included on my user account,Account & Authentication,edit_account,train
i try to change my personal info,Account & Authentication,edit_account,train
using another account,Account & Authentication,switch_account,train
help me to use the standard profile,Account & Authentication,switch_account,train
i have to recover my avcount pin code,Account & Authentication,recover_password,train
modifying standard account,Account & Authentication,edit_account,train
I don't know what to do to reset my access key,Account & Authentication,recover_password,train
question about the passowrd reset,Account & Authentication,recover_password,train
i try to niform of issues with a signup,Account & Authentication,registration_problems,train
"I have to edit my account, how could I do it?",Account & Authentication,edit_account,train
updating information on premium account,Account & Authentication,edit_account,train
i do not know how i can correct the user information,Account & Authentication,edit_account,train
using another user,Account & Authentication,switch_account,train
modify info on account,Account & Authentication,edit_account,train
what do I have to do to change to the account?,Account & Authentication,switch_account,train
can I use the pro profile?,Account & Authentication,switch_account,train
I want assistance to retrieve my profile PIN code,Account & Authentication,recover_password,train
"I have got to change to the standard account, I need help",Account & Authentication,switch_account,train
can you help me changing to the standard account?,Account & Authentication,switch_account,train
"I have got to use the bloody profile, I need help",Account & Authentication,switch_account,train
I need assistance editing the information on my user,Account & Authentication,edit_account,train
updating information on pro account,Account & Authentication,edit_account,train
question about opening user profiles,Account & Authentication,registration_problems,train
could you help me notifying of problems with a signup?,Account & Authentication,registration_problems,train
I'm experiencing a registration error,Account & Authentication,registration_problems,train
can uhelp me correct my personal details,Account & Authentication,edit_account,train
wanna notify of errors with sign-up,Account & Authentication,registration_problems,train
correct details on account,Account & Authentication,edit_account,train
where do I reset my user key?,Account & Authentication,recover_password,train
"I have to update my user account, how could I do it?",Account & Authentication,edit_account,train
where to notify of problems with an sign-up,Account & Authentication,registration_problems,train
how to update my account,Account & Authentication,edit_account,train
retrieve the key of my user account,Account & Authentication,recover_password,train
I don't know what I need to do to switch to the pro account,Account & Authentication,switch_account,train
editing data on account,Account & Authentication,edit_account,train
help me retrieving my user profile PIN,Account & Authentication,recover_password,train
updating detais on freemium account,Account & Authentication,edit_account,train
editing info on account,Account & Authentication,edit_account,train
help using the standard cacount,Account & Authentication,switch_account,train
help me to reset my profile pwd,Account & Authentication,recover_password,train
help me to change to the gold account,Account & Authentication,switch_account,train
i ned assistance switching to the account,Account & Authentication,switch_account,train
ihave a question about my pin recovery,Account & Authentication,recover_password,train
switch to pro account,Account & Authentication,switch_account,train
how can i find information about my access key recovery,Account & Authentication,recover_password,train
"I have got to use the pro profile, how can I do it?",Account & Authentication,switch_account,train
I'm trying to correct the info included on my profile,Account & Authentication,edit_account,train
"I can't open an account, where do I report a signup issue?",Account & Authentication,registration_problems,train
I do not know how I can switch to the standard account,Account & Authentication,switch_account,train
help me recovering the password of my account,Account & Authentication,recover_password,train
I need assistance to retrieve my user profile pass,Account & Authentication,recover_password,train
need to modify the user info help me,Account & Authentication,edit_account,train
assistance notifying of a signup problem,Account & Authentication,registration_problems,train
question about the pin reset,Account & Authentication,recover_password,train
I have to switch to the account,Account & Authentication,switch_account,train
where to change to the standard accout,Account & Authentication,switch_account,train
can you help me update the data included on my profile?,Account & Authentication,edit_account,train
modifying details on premium account,Account & Authentication,edit_account,train
where can i report registration errors,Account & Authentication,registration_problems,train
need help to report problems with a registratoon,Account & Authentication,registration_problems,train
modifying data on standard account,Account & Authentication,edit_account,train
I have to inform of na issue with signup,Account & Authentication,registration_problems,train
I need to update the info included on my account,Account & Authentication,edit_account,train
i want assistance to inform of a problem with a registration,Account & Authentication,registration_problems,train
edit premium account,Account & Authentication,edit_account,train
modify info on platinum account,Account & Authentication,edit_account,train
want assistance restoring my profile PIN,Account & Authentication,recover_password,train
I have errors with the registration,Account & Authentication,registration_problems,train
how do i retrieve the pin code of myaccount,Account & Authentication,recover_password,train
"I cannot remember my account PIN, I would like to recover it",Account & Authentication,recover_password,train
I cannot report errors with a registration,Account & Authentication,registration_problems,train
I have to reset my user profile key,Account & Authentication,recover_password,train
changing information on account,Account & Authentication,edit_account,train
i cant open a profile where do i inform of a sign-up issue,Account & Authentication,registration_problems,train
how to reset my user profile key?,Account & Authentication,recover_password,train
i cant open a user i wanna report signup issues,Account & Authentication,registration_problems,train
I need help to notiyf of a registration problem,Account & Authentication,registration_problems,train
can ya help me to change to another account,Account & Authentication,switch_account,train
editing info on standard account,Account & Authentication,edit_account,train
where do I restore the PIN of my user account?,Account & Authentication,recover_password,train
"I have to correct my personal data, how do I do it?",Account & Authentication,edit_account,train
correcting information on platinum account,Account & Authentication,edit_account,train
wanna use the premium account,Account & Authentication,switch_account,train
need to notify of an error with sign-up,Account & Authentication,registration_problems,train
I do not know how to retrieve my key,Account & Authentication,recover_password,train
where do I restore my pass?,Account & Authentication,recover_password,train
I want assistance restoring my profile PIN code,Account & Authentication,recover_password,train
help me nltifying of issues with a sign-up,Account & Authentication,registration_problems,train
i need help rstoring the key of my profile,Account & Authentication,recover_password,train
where do I inform of signup issues?,Account & Authentication,registration_problems,train
i cannot inform of errors wiht a signup,Account & Authentication,registration_problems,train
need to update the data included on my account how to do it,Account & Authentication,edit_account,train
i dont know how to resetthe damn pwd of my user account,Account & Authentication,recover_password,train
I do not know what to do to report errors with registrations,Account & Authentication,registration_problems,train
what do I have to do to report signup errors?,Account & Authentication,registration_problems,train
I need to switch to the standard acconut,Account & Authentication,switch_account,train
I want assistance to change to the account,Account & Authentication,switch_account,train
help to restore the PIN code of my profile,Account & Authentication,recover_password,train
can you help me report problems with a sign-up?,Account & Authentication,registration_problems,train
help me to restore my account PIN,Account & Authentication,recover_password,train
i do not know how i can report an issue with a sign-up,Account & Authentication,registration_problems,train
I don't know what I have to do to reset my pass,Account & Authentication,recover_password,train
i want assistance switching to the gold account,Account & Authentication,switch_account,train
I cannot inform of sign-up issues,Account & Authentication,registration_problems,train
how to inform of an sign-up error,Account & Authentication,registration_problems,train
I do not know what to do to notify of a signup error,Account & Authentication,registration_problems,train
I want help resetting my user profile PIN,Account & Authentication,recover_password,train
correct data on premium account,Account & Authentication,edit_account,train
i dont know how i could inform of a problem with a sign-up,Account & Authentication,registration_problems,train
"I can't register, can I notify of registration problems?",Account & Authentication,registration_problems,train
modify data on account,Account & Authentication,edit_account,train
how do i inform of issues with a signup,Account & Authentication,registration_problems,train
need assistance to report registration issues,Account & Authentication,registration_problems,train
I want help to change to the standard account,Account & Authentication,switch_account,train
changkng to freemium account,Account & Authentication,switch_account,train
i dont know what to do to change to the standard account,Account & Authentication,switch_account,train
report registration issues,Account & Authentication,registration_problems,train
updating info on pro account,Account & Authentication,edit_account,train
how to use the platinum account,Account & Authentication,switch_account,train
I need assistance reporting a problem with a sign-up,Account & Authentication,registration_problems,train
will you give m information about the PIN retrieval?,Account & Authentication,recover_password,train
wanna switch to the platinum accoun,Account & Authentication,switch_account,train
update details on standard account,Account & Authentication,edit_account,train
correct details onGold account,Account & Authentication,edit_account,train
"I cannot sign up, assistance reporting fucking signup issues",Account & Authentication,registration_problems,train
"I have to modify the personal details, how to do it?",Account & Authentication,edit_account,train
help recovering the password of my profile,Account & Authentication,recover_password,train
wanna change the info on my account can i get some help,Account & Authentication,edit_account,train
I do not know how to reset my goddamn user account PIN code,Account & Authentication,recover_password,train
what do i need to do to reportt registration errors,Account & Authentication,registration_problems,train
correcting infornation on account,Account & Authentication,edit_account,train
I have got to retrieve my user profile password,Account & Authentication,recover_password,train
updating pro account,Account & Authentication,edit_account,train
how to change to the standard account?,Account & Authentication,switch_account,train
how to reset my user account key?,Account & Authentication,recover_password,train
where can I report sign-up problems?,Account & Authentication,registration_problems,train
help to report signup problems,Account & Authentication,registration_problems,train
i have to update the data included on my user i need help,Account & Authentication,edit_account,train
